"id"|"name"|"unsigned_name"|"description"|"is_composer"|"is_singer"|"is_guru"|"create_date"|"create_by"|"update_date"|"update_by"
"49"|"Y Moan"|"y moan"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"50"|"Hà Okio"|"ha okio"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"51"|"Jimmy Nguyễn"|"jimmy nguyen"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"52"|"Microwave"|"microwave"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"53"|"Hoài An"|"hoai an"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"54"|"Tuấn Hưng"|"tuan hung"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"55"|"Phạm Khánh Hưng"|"pham khanh hung"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"56"|"Lương Bằng Quang"|"luong bang quang"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"57"|"Hồ Quỳnh Hương"|"ho quynh huong"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"58"|"hieuorion"|"hieuorion"||"0"|"0"|"1"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"59"|"haketu"|"haketu"||"0"|"0"|"1"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"60"|"Guitardamme"|"guitardamme"||"0"|"0"|"1"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"61"|"Văn Anh"|"van anh"||"0"|"0"|"1"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"62"|"Hiển Acous"|"hien acous"||"0"|"0"|"1"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"63"|"kenx"|"kenx"||"0"|"0"|"1"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"64"|"sonnt"|"sonnt"||"0"|"0"|"1"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"65"|"Lân ốc"|"lan oc"||"0"|"0"|"1"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"66"|"BuiQuangHuy"|"buiquanghuy"||"0"|"0"|"1"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"67"|"zReThuz"|"zrethuz"||"0"|"0"|"1"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"68"|"tienhanh"|"tienhanh"||"0"|"0"|"1"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"69"|"apasras"|"apasras"||"0"|"0"|"1"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"70"|"hoangguitar2210"|"hoangguitar2210"||"0"|"0"|"1"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"71"|"Linh Lem"|"linh lem"||"0"|"0"|"1"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"72"|"Đức Huy"|"duc huy"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"73"|"Tiến Minh"|"tien minh"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"74"|"Bùi Anh Tuấn"|"bui anh tuan"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"75"|"Hoàng Tôn"|"hoang ton"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"76"|"Nguyễn Ánh 9"|"nguyen anh 9"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"78"|"Hoàng Nguyên"|"hoang nguyen"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"79"|"Quang Lê"|"quang le"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"80"|"Xuân Phương"|"xuan phuong"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"81"|"Kim Tuấn"|"kim tuan"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"82"|"Quốc Dũng"|"quoc dung"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"83"|"Elvis Phương"|"elvis phuong"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"84"|"Minh Châu"|"minh chau"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"85"|"Thích Chân Quang"|"thich chan quang"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"86"|"Nguyễn Vũ"|"nguyen vu"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"87"|"Thanh Lam"|"thanh lam"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"88"|"Dân Ca Bắc Bộ"|"dan ca bac bo"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"89"|"Quang Dũng"|"quang dung"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"90"|"Trung Nghĩa"|"trung nghia"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"91"|"Vũ Hoàng"|"vu hoang"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"93"|"Vũ Trọng Hối"|"vu trong hoi"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"94"|"Khánh Ly"|"khanh ly"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"95"|"Quốc An"|"quoc an"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"96"|"Vân Trường"|"van truong"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"97"|"Trần Lê Quỳnh"|"tran le quynh"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"98"|"Thuận Yến"|"thuan yen"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"99"|"Khánh Hà"|"khanh ha"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"100"|"Cẩm Ly"|"cam ly"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"101"|"Trần Thiện Thanh"|"tran thien thanh"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"102"|"Thanh Thảo"|"thanh thao"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"103"|"Phạm Trọng Cầu"|"pham trong cau"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"104"|"Nguyễn Hoàng"|"nguyen hoang"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"105"|"Quang Vinh"|"quang vinh"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"106"|"Châu Kỳ"|"chau ky"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"107"|"Thanh Tuyền"|"thanh tuyen"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"108"|"Phạm Đăng Khương"|"pham dang khuong"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"109"|"Trịnh Nam Sơn"|"trinh nam son"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"110"|"Trần Quang Lộc"|"tran quang loc"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"111"|"Hồng Nhung"|"hong nhung"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"112"|"Quang Linh"|"quang linh"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"113"|"Ngọc Châu"|"ngoc chau"||"1"|"0"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"114"|"Phương Thanh"|"phuong thanh"||"0"|"1"|"0"|"2013-06-21"|"user1"|"2013-07-19"|"admin"
"115"|"Đức Trí"|"duc tri"||"1"|"0"|"0"|"2013-06-21"|"user1"|"2013-07-19"|"admin"
"117"|"Thùy Chi"|"thuy chi"||"0"|"1"|"0"|"2013-06-21"|"user1"|"2013-07-19"|"user1"
"118"|"Trần Long Ẩn"|"tran long an"||"1"|"0"|"0"|"2013-06-21"|"admin"|"2013-07-19"|"admin"
"119"|"Tần Minh"|"tan minh"||"0"|"1"|"0"|"2013-06-21"|"admin"|"2013-07-19"|"admin"
"120"|"Phú Quang"|"phu quang"||"1"|"0"|"0"|"2013-06-21"|"admin"|"2013-07-19"|"admin"
"121"|"Lê Quang"|"le quang"||"1"|"0"|"0"|"2013-06-21"|"admin"|"2013-07-19"|"admin"
"122"|"Nguyễn Văn Tý"|"nguyen van ty"||"1"|"0"|"0"|"2013-06-21"|"admin"|"2013-07-19"|"admin"
"123"|"Minh Khang"|"minh khang"||"1"|"0"|"0"|"2013-06-21"|"admin"|"2013-07-19"|"admin"
"124"|"Thanh Tùng"|"thanh tung"||"1"|"0"|"0"|"2013-06-21"|"admin"|"2013-07-19"|"admin"
"125"|"Quốc Bảo"|"quoc bao"||"1"|"0"|"0"|"2013-06-21"|"admin"|"2013-07-19"|"admin"
"126"|"Duy Quang"|"duy quang"||"0"|"1"|"0"|"2013-06-21"|"admin"|"2013-07-19"|"admin"
"127"|"Quang Lý"|"quang ly"||"0"|"1"|"0"|"2013-06-21"|"admin"|"2013-07-19"|"admin"
"128"|"Phan Huỳnh Điểu"|"phan huynh dieu"||"1"|"0"|"0"|"2013-06-21"|"admin"|"2013-07-19"|"admin"
"129"|"Nguyễn Đức Trung"|"nguyen duc trung"||"1"|"0"|"0"|"2013-06-21"|"admin"|"2013-07-19"|"admin"
"130"|"Trọng Đài"|"trong dai"||"1"|"0"|"0"|"2013-06-22"|"admin"|"2013-07-19"|"admin"
"131"|"Ngọc Tân"|"ngoc tan"||"0"|"1"|"0"|"2013-06-22"|"admin"|"2013-07-19"|"admin"
"132"|"Hữu Xuân"|"huu xuan"||"1"|"0"|"0"|"2013-06-22"|"admin"|"2013-07-19"|"admin"
"133"|"Phan Nhân"|"phan nhan"||"1"|"0"|"0"|"2013-06-22"|"admin"|"2013-07-19"|"admin"
"134"|"Tạ Minh Tâm"|"ta minh tam"||"0"|"1"|"0"|"2013-06-22"|"admin"|"2013-07-19"|"admin"
"135"|"Lê Hựu Hà"|"le huu ha"||"1"|"0"|"0"|"2013-06-22"|"admin"|"2013-07-19"|"admin"
"136"|"Hồng Đăng"|"hong dang"||"1"|"0"|"0"|"2013-06-22"|"admin"|"2013-07-19"|"admin"
"137"|"Như Quỳnh"|"nhu quynh"||"0"|"1"|"0"|"2013-06-22"|"admin"|"2013-07-19"|"admin"
"138"|"Tuấn Vũ"|"tuan vu"||"0"|"1"|"0"|"2013-06-22"|"admin"|"2013-07-19"|"admin"
"139"|"Hoàng Phương"|"hoang phuong"||"1"|"0"|"0"|"2013-06-22"|"admin"|"2013-07-19"|"admin"
"140"|"Nguyễn Văn Hiên"|"nguyen van hien"||"1"|"0"|"0"|"2013-06-22"|"admin"|"2013-07-19"|"admin"
"141"|"Phạm Minh Tuấn"|"pham minh tuan"||"1"|"0"|"0"|"2013-06-22"|"admin"|"2013-07-19"|"admin"
"142"|"Bằng Kiều"|"bang kieu"||"0"|"1"|"0"|"2013-06-22"|"admin"|"2013-07-19"|"admin"
"143"|"Thu Phương"|"thu phuong"||"0"|"1"|"0"|"2013-06-22"|"admin"|"2013-07-19"|"admin"
"144"|"Vy Oanh"|"vy oanh"||"0"|"1"|"0"|"2013-06-22"|"user1"|"2013-07-19"|"user1"
"145"|"MTV"|"mtv"||"0"|"1"|"0"|"2013-06-22"|"user1"|"2013-07-19"|"user1"
"146"|"Tuấn Khanh"|"tuan khanh"||"1"|"0"|"0"|"2013-06-22"|"user1"|"2013-07-19"|"user1"
"147"|"Vy Nhật Tảo"|"vy nhat tao"||"1"|"0"|"0"|"2013-06-22"|"user1"|"2013-07-19"|"user1"
"148"|"Ngô Thụy Miên"|"ngo thuy mien"||"1"|"0"|"0"|"2013-06-22"|"user1"|"2013-07-19"|"user1"
"149"|"Mạnh Quỳnh"|"manh quynh"||"0"|"1"|"0"|"2013-06-22"|"user1"|"2013-07-19"|"user1"
"150"|"Hoài Linh"|"hoai linh"||"1"|"0"|"0"|"2013-06-22"|"user1"|"2013-07-19"|"user1"
"151"|"Mây Trắng"|"may trang"||"0"|"1"|"0"|"2013-06-22"|"user1"|"2013-07-19"|"user1"
"152"|"Sỹ Luân"|"sy luan"||"1"|"0"|"0"|"2013-06-22"|"user1"|"2013-07-19"|"user1"
"153"|"Justin Nguyễn "|"justin nguyen "||"0"|"1"|"0"|"2013-06-22"|"user1"|"2013-07-19"|"user1"
"154"|"Nguyễn Hồng Thuận"|"nguyen hong thuan"||"1"|"0"|"0"|"2013-06-22"|"user1"|"2013-07-19"|"user1"
"155"|"Loan Châu"|"loan chau"||"0"|"1"|"0"|"2013-06-22"|"user1"|"2013-07-19"|"user1"
"156"|"Thanh Thuận"|"thanh thuan"||"1"|"0"|"0"|"2013-06-22"|"user1"|"2013-07-19"|"user1"
"157"|"Cao Thái Sơn"|"cao thai son"||"0"|"1"|"0"|"2013-06-22"|"user1"|"2013-07-19"|"user1"
"158"|"Trương Lê Sơn"|"truong le son"||"1"|"0"|"0"|"2013-06-22"|"user1"|"2013-07-19"|"user1"
"159"|"Vĩnh Thuyên Kim"|"vinh thuyen kim"||"0"|"1"|"0"|"2013-06-22"|"user1"|"2013-07-19"|"user1"
"160"|"Tam Ca Áo Trắng"|"tam ca ao trang"||"0"|"1"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"161"|"Hoàng Việt"|"hoang viet"||"1"|"0"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"162"|"Duy Thái"|"duy thai"||"1"|"0"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"163"|"Ngọc Sơn"|"ngoc son"||"1"|"1"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"164"|"Trần Tiến"|"tran tien"||"1"|"1"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"165"|"Tam Ca 3A"|"tam ca 3a"||"0"|"1"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"166"|"Nguyễn Xuân Phương"|"nguyen xuan phuong"||"1"|"0"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"167"|"Lý Hải"|"ly hai"||"0"|"1"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"168"|"Tuấn Nghĩa"|"tuan nghia"||"1"|"0"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"169"|"Minh Kỳ"|"minh ky"||"1"|"0"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"170"|"Atomega"|"atomega"||"0"|"1"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"171"|"Trần Quang Huy"|"tran quang huy"||"1"|"0"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"172"|"Gạt Tàn Đầy"|"gat tan day"||"1"|"1"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"173"|"Mắt Ngọc"|"mat ngoc"||"0"|"1"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"174"|"Y Vân"|"y van"||"1"|"0"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"175"|"Trần Minh Phi"|"tran minh phi"||"1"|"0"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"176"|"Bảo Phúc"|"bao phuc"||"1"|"1"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"177"|"Lê Hiếu"|"le hieu"||"0"|"1"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"178"|"Thanh Sơn"|"thanh son"||"1"|"0"|"0"|"2013-06-23"|"admin"|"2013-07-19"|"admin"
"179"|"Huy Thục"|"huy thuc"||"1"|"0"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"180"|"Anh Bằng"|"anh bang"||"1"|"1"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"182"|"Trần Lập"|"tran lap"||"1"|"0"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"183"|"Mạnh Tú"|"manh tu"||"1"|"0"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"184"|"Siu Black"|"siu black"||"0"|"1"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"185"|"Dương Thụ"|"duong thu"||"1"|"0"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"186"|"Bảo Anh"|"bao anh"||"0"|"1"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"187"|"Hồ Bắc"|"ho bac"||"1"|"0"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"188"|"Phương Nga"|"phuong nga"||"0"|"1"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"189"|"Nguyễn Kim Tuấn"|"nguyen kim tuan"||"1"|"0"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"190"|"Duy Mạnh"|"duy manh"||"1"|"1"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"191"|"Đỗ Bảo"|"do bao"||"1"|"0"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"192"|"Tấn Minh"|"tan minh"||"0"|"1"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"193"|"Ngọc Lễ"|"ngoc le"||"1"|"0"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"194"|"Tôn Thất Sơn"|"ton that son"||"0"|"1"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"195"|"Phạm Duy"|"pham duy"||"1"|"0"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"196"|"Various Artists"|"various artists"||"0"|"1"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"197"|"Xuân Hồng"|"xuan hong"||"1"|"0"|"0"|"2013-06-23"|"user1"|"2013-07-19"|"user1"
"198"|"Nhất Sinh"|"nhat sinh"||"1"|"0"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"199"|"Thu Minh"|"thu minh"||"0"|"1"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"200"|"Nguyễn Quang"|"nguyen quang"||"1"|"0"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"201"|"Hoàng Hiệp"|"hoang hiep"||"1"|"0"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"202"|"Hoài Nam"|"hoai nam"||"0"|"1"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"203"|"Lã Văn Cường"|"la van cuong"||"1"|"0"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"204"|"Lệ Quyên"|"le quyen"||"0"|"1"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"205"|"Nguyễn Hồng Ân"|"nguyen hong an"||"0"|"1"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"206"|"Nguyễn Trung Cang"|"nguyen trung cang"||"1"|"0"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"207"|"Nguyễn Hưng"|"nguyen hung"||"0"|"1"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"208"|"Quách Tuấn Du"|"quach tuan du"||"0"|"1"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"209"|"Đức Tuấn"|"duc tuan"||"0"|"1"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"210"|"Tiến Lộc"|"tien loc"||"1"|"0"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"211"|"Vũ Thành An"|"vu thanh an"||"1"|"0"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"212"|"Hồng Hạnh"|"hong hanh"||"0"|"1"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"213"|"Phạm Mạnh Cương"|"pham manh cuong"||"1"|"0"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"214"|"Nhiều Ca Sĩ"|"nhieu ca si"||"0"|"1"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"215"|"Hữu Tâm"|"huu tam"||"1"|"0"|"0"|"2013-06-24"|"user1"|"2013-07-19"|"user1"
"216"|"Trọng Phúc"|"trong phuc"||"0"|"1"|"0"|"2013-06-25"|"user1"|"2013-07-19"|"user1"
"217"|"Lương Duy Thắng"|"luong duy thang"||"1"|"0"|"0"|"2013-06-25"|"user1"|"2013-07-19"|"user1"
"218"|"Minh Vương M4U"|"minh vuong m4u"||"0"|"1"|"0"|"2013-06-25"|"user1"|"2013-07-19"|"user1"
"219"|"Nguyễn Minh Tuấn"|"nguyen minh tuan"||"1"|"0"|"0"|"2013-06-25"|"user1"|"2013-07-19"|"user1"
"220"|"Phúc Bằng"|"phuc bang"||"0"|"1"|"0"|"2013-06-25"|"user1"|"2013-07-19"|"user1"
"221"|"Anh Khang"|"anh khang"||"1"|"1"|"0"|"2013-06-25"|"user1"|"2013-07-19"|"user1"
"222"|"Ưng Hoàng Phúc"|"ung hoang phuc"||"0"|"1"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"223"|"Nguyễn Hoài Anh"|"nguyen hoai anh"||"1"|"0"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"224"|"Vũ Khanh"|"vu khanh"||"0"|"1"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"225"|"Lê Minh Bằng"|"le minh bang"||"1"|"0"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"226"|"Nguyên Vũ"|"nguyen vu"||"0"|"1"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"227"|"Quang Huy"|"quang huy"||"1"|"0"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"228"|"Hà Anh Tuấn"|"ha anh tuan"||"0"|"1"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"229"|"Võ Thiện Thanh"|"vo thien thanh"||"1"|"0"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"230"|"Ông Cao Thắng"|"ong cao thang"||"0"|"1"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"231"|"Ánh Tuyết"|"anh tuyet"||"0"|"1"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"232"|"Ngọc Trọng"|"ngoc trong"||"1"|"0"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"233"|"Nhạc Hoa"|"nhac hoa"||"1"|"0"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"234"|"Triệu Hoàng"|"trieu hoang"||"0"|"1"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"235"|"Nguyễn Hồng Hải"|"nguyen hong hai"||"1"|"0"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
